1000001292	-1146.1494	1428.3296	-2756.3214	408.6911
1000003294	-877.8718	1439.2907	-2473.9751	491.4820
1000005294	-563.9215	1456.2212	-2161.7015	546.1953
1000007294	-244.4527	1470.0292	-1825.6178	623.6374
1000009293	0.0000	0.0000	-1504.7772	678.9437
1000011295	-942.1496	1341.2217	-1002.3492	798.7236
1000013292	-729.3256	1336.0343	-688.6636	858.3388
1000015291	-464.4934	1339.4817	-503.8347	889.6723
1000017292	-272.5832	1340.9046	0.0000	0.0000
1000019293	-135.4386	1329.9287	1142.7482	1168.1930
1000021294	90.5703	1328.8084	242.1244	1039.8077
1000023311	187.9583	1303.8800	0.0000	0.0000
1000025306	362.2161	1295.4812	1438.0903	1173.3594
1000027885	460.7480	1276.6199	868.7770	1128.1263
1000029302	541.9734	1251.9745	0.0000	0.0000
1000031302	588.3889	1231.6211	1650.1399	1138.3123
1000033300	636.4348	1204.5092	1187.6889	1149.5285
1000035300	677.3792	1179.8782	1220.0816	1154.5713
1000037300	674.5268	1151.8072	0.0000	0.0000
1000039302	736.2883	1133.4171	1785.5069	1074.1496
1000041301	756.2335	1108.1064	1486.5007	1172.0268
1000043302	777.9821	1089.4373	1494.4465	1137.1151
1000045303	815.9982	1072.1237	0.0000	0.0000
1000047301	815.4971	1054.0840	1839.4611	996.6237
1000049300	818.2372	1039.7399	1589.8112	1153.3704
1000051300	830.3799	1021.1445	1676.8719	1131.5507
1000053302	839.6969	1006.1545	0.0000	0.0000
1000055307	841.6841	989.0670	1820.8301	896.4188
1000057310	844.8682	970.4602	1835.1765	1038.0580
1000059301	846.4739	958.8286	1855.9745	1010.1272
1000061300	846.3735	936.0202	1860.4800	999.7131
1000063302	848.7442	925.6633	1886.6897	913.2530
1000065308	850.2667	908.3324	1846.6276	885.8068
1000067308	849.8945	893.2247	1881.8475	845.1434
1000069310	850.4734	879.1576	1869.9764	765.8230
1000071310	849.5013	860.5374	1799.2034	710.0703
1000073308	848.7990	847.0136	1827.7486	672.9056
1000075310	846.6630	832.9623	1768.6060	648.1684
1000077309	843.4999	817.1889	1752.9837	623.5263
1000079310	841.2506	802.3602	1791.6513	610.5975
1000081308	839.8413	786.4192	1728.4298	555.3865
1000083308	841.7733	775.2631	1711.6546	518.2752
1000085309	838.4820	761.7133	1707.6366	519.4051
1000087310	837.3860	751.0797	1706.9896	513.9258
1000089309	834.8648	744.5517	1669.0378	454.4148
1000091310	824.7867	726.0460	1226.4472	368.2295
1000093310	823.6376	722.6717	1219.4580	374.2580
1000095309	820.7503	716.3039	1177.0529	383.6551
1000097311	820.6002	706.9243	1171.7036	394.0727
1000099306	826.2059	709.4639	1135.9335	391.0464
1000101307	828.4559	704.7722	1154.2058	419.5964
1000103306	834.6848	700.8436	1144.6031	418.1410
1000105308	838.3034	699.7795	1184.8557	463.7204
1000107307	838.0509	695.7977	1177.4533	514.4543
1000109306	843.5914	693.4412	1165.3134	549.3582
1000111318	847.2408	692.5490	1159.7855	558.5940
1000113317	850.5290	690.9715	1153.7944	572.7250
1000115316	851.2318	687.4746	1150.4006	580.0411
1000117316	852.8374	686.6041	1145.6210	594.0726
1000119317	855.3662	685.8560	1143.2543	602.4763
1000121316	856.1072	686.6506	1132.5452	611.7229
1000123315	856.1953	685.5941	1132.7370	625.2335
1000125317	857.1510	689.4506	1122.9701	623.9255
1000127320	859.4499	691.9241	1119.6695	632.4323
1000129317	859.8595	695.3106	1117.2449	643.8583
1000131316	860.4015	697.3220	1116.8401	647.9958
1000133317	861.3344	696.8629	1114.3871	651.0345
1000135792	867.7204	721.9467	1110.7307	655.8371
1000137316	872.6916	726.0190	1107.7485	664.6347
1000139316	875.2447	721.3103	1105.9916	666.0133
1000141316	884.8318	737.2730	1104.1419	670.0971
1000143316	888.5780	748.6649	1103.7640	677.8486
1000145315	890.9313	751.0115	1099.5144	683.3996
1000147314	895.2864	759.4768	1097.8345	685.8586
